date,ndvi
2024-07-03,0.26247527029104684
2024-07-13,0.25616050721919037
2024-07-18,0.24804240928846832
2024-07-23,0.24702329022320213
2024-07-28,0.23025117790025332
2024-08-07,0.2077814461439117
2024-08-17,0.20059766693053144
2024-08-22,0.20336505153773007
2024-08-27,0.18552722173134692
2024-09-01,0.1977330319646002
2024-09-06,0.1973383081994411
2024-09-11,0.19543425659864688
2024-09-16,0.17694862786396853
2024-09-26,0.17345948554486798
2024-10-01,0.17923242612905604
2024-10-06,0.1936094851724917
2024-11-25,0.5019457076438928
2025-01-24,0.8813861251835158
2025-02-08,0.4189617407151143
2025-03-15,0.5238014475419874
2025-04-11,0.8900009687075959
2025-05-01,0.8836955017548576
2025-05-04,0.8826800222897301
2025-05-09,0.8754513298686282
2025-05-14,0.8749277471361709
2025-05-19,0.8619389473832729
2025-05-21,0.8511781952153621
2025-05-24,0.8547125142892398
2025-06-03,0.8311604430367258
2025-06-08,0.806339192484786
2025-06-13,0.8029603557608664
2025-06-18,0.7642044545950273
2025-06-28,0.6415181162390188
2025-06-30,0.5881881975312654
2025-07-03,0.38741485423945576
2025-07-08,0.47067737128464265
2025-07-13,0.35980446129854726
2025-07-20,0.28621482044522667
2025-07-23,0.25660254267661325
2025-08-07,0.21183482305680065
2025-08-09,0.21225008571101733
2025-08-12,0.32176070152836495
2025-08-17,0.18355715250436877
2025-08-22,0.193095960750614
2025-08-27,0.17925887788392464
2025-09-01,0.1774741699153526
2025-09-06,0.170998246203352
2025-09-11,0.17691822814954156
2025-09-26,0.14137934962602144
2025-10-06,0.14455399078123202
2025-10-21,0.15353280089732277
2025-11-10,0.23867916362489147
2025-11-15,0.2734793848292317
2025-11-20,0.32878808742656046
2025-12-25,0.9108819609697374
2025-12-27,0.9061554982926474
2025-12-30,0.8449718935806076
2026-03-05,0.20657094280243343
2026-03-15,0.30050801288425516
2026-03-27,0.6271474276004395
2026-04-04,0.7953373465419123
2026-04-14,0.8735920583624663
2026-04-16,0.868274116808881
2026-04-19,0.8772139657086149
2026-04-24,0.8702633434200288
2026-04-29,0.8337203848613489
2026-05-04,0.8614206423004727
2026-05-06,0.8635276781271634
2026-06-08,0.7574359411234776
2026-06-18,0.755076142858386
2026-06-28,0.6832129818300346
